ID	Enity Type	Label	Origin Organization	Contributor	Created
ID	SC %	LABEL	SC 'device origin organization' value % SPLIT=|	AI dcterms:contributor SPLIT=|	A dcterms:created
neio:0000101	device	Alpha AMS	Universität Tübingen	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000102	device	Alpha IMS	Universität Tübingen	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000103	device	AmazingVision	National Chiao Tung University	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000104	device	Argus I	University of Southern California	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000105	device	Argus II			
neio:0000106	device	ASR Artificial Silicon Retina			
neio:0000107	device	AV-DONE			
neio:0000108	device	Bar-Ilan Prosthesis			
neio:0000109	device	Biohybrid			
neio:0000110	device	Boston Retinal Implant			
neio:0000111	device	BS01	Cornell University	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000112	device	C-Sight	Shanghai Jiao Tong University	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000113	device	CORTIVIS			
neio:0000114	device	Diamond Eye Implant			
neio:0000115	device	Electronic Visual Cortical Stimulator	Polytechnique Montréal	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000116	device	ELVIS			
neio:0000117	device	EPIRET1			
neio:0000118	device	EPIRET2			
neio:0000119	device	EPIRET3			
neio:0000120	device	Gennaris	Monash University	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000121	device	HARP			
neio:0000122	device	Intracortical Visual Prosthesis	Illinois Institute of Technology	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000123	device	IMI Retinal Implant System			
neio:0000124	device	IMIE 256 Channel Intelligent Micro Implant Eye			
neio:0000125	device	IRIS I			
neio:0000126	device	IRIS II			
neio:0000127	device	Leuven Optic Nerve Visual Prosthesis			
neio:0000128	device	Link N1			
neio:0000129	device	Newcastle Visual Prosthesis			
neio:0000130	device	NR600			
neio:0000131	device	OpticSELINE			
neio:0000132	device	Optoelectronic Nanowire Retinal Prosthesis			
neio:0000133	device	OPTOEPIRET			
neio:0000134	device	Orion Cortical Visual Prosthesis System			
neio:0000135	device	OUReP			
neio:0000136	device	Phoenix 99			
neio:0000137	device	POLYRETINA			
neio:0000138	device	PolySTIM			
neio:0000139	device	PRIMA			
neio:0000140	device	QuantumRetina			
neio:0000141	device	Science Eye			
neio:0000142	device	Seoul Artificial Retina			
neio:0000143	device	SiBionics Prosthesis			
neio:0000144	device	Stanford Artificial Retina Project			
neio:0000145	device	STS Retinal Prosthesis			
neio:0000146	device	Suprachoroidal Prosthesis (24-channel)			
neio:0000147	device	Suprachoroidal Prosthesis (44-channel)			
neio:0000148	device	Thalamic Visual Prosthesis	Massachusetts General Hospital	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
neio:0000149	device	Utah Intracortical Electrode Array			
neio:0000150	device	VISNE			
neio:0000151	device	Brindley Cortical Implant	University of London	https://orcid.org/0009-0006-7251-3026	2024-04-26T18:00:00Z
