ID	Enity Type	Label	Commercial Partner	Origin Organization	Implant Type	CE Mark Year	End of Product Year	FDA Approval Year	First Patient Year	Clinical Trial	Electrode Number	Electrode Diameter	Electrode Layout	Electrode Pitch	Implant Location	Implant Processor Location	Contributor	Created		Description
ID	SC %	LABEL	SC 'device commercialized by' value % SPLIT=|	SC 'device origin organization' value % SPLIT=|	A 'implant type' SPLIT=|	A 'ce mark year' SPLIT=|	 A 'end of product year' SPLIT=|	 A 'FDA approval year' SPLIT=|	 A 'first patient year' SPLIT=|	" A 'clinical trial' SPLIT=,"	A 'electrode number' SPLIT=|	A 'electrode diameter' SPLIT=|	A 'electrode layout' SPLIT=|	A 'electrode pitch' SPLIT=|	A 'implant location' SPLIT=|	 A 'implant processor location' SPLIT=|	AI dcterms:contributor SPLIT=|	A dcterms:created		A dcterms:description SPLIT=|
neio:0000101	bionic vision device	Alpha AMS	Retina Implant AG	Universität Tübingen	electronic	2016	2019		2015	"NCT03629899, NCT02720640"	1600		rectilinear	70	subretinal	subretinal	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Alpha AMS is an advanced subretinal implant developed by Retina Implant AG, designed to assist individuals with retinitis pigmentosa, a condition marked by the progressive loss of vision. This implant is an evolution of its predecessor, the [Alpha IMS](/devices/alpha-ims), featuring enhanced functionality with 1,600 light-sensitive photodiodes that more effectively mimic the natural processing of visual signals. Implanted under the retina, the Alpha AMS converts light into electrical signals that are sent to the brain, enabling patients to detect light and dark, and recognize large objects and outlines."
neio:0000102	bionic vision device	Alpha IMS	Retina Implant AG	Universität Tübingen	electronic	2013	2019						rectilinear	70	subretinal	subretinal	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Alpha IMS is a subretinal implant developed by Retina Implant AG, aimed at restoring functional vision for individuals with retinitis pigmentosa, a group of genetic disorders characterized by progressive vision loss. Implanted beneath the retina, the device features a microchip equipped with 1,500 light-sensitive photodiodes, amplifiers, and electrodes. It functions by mimicking the role of photoreceptor cells: capturing light signals and converting them into electrical impulses transmitted to the brain via the optic nerve.

Alpha IMS enables patients to perceive light patterns, assisting in navigation and object recognition. Clinical trials have shown that the implant can enhance visual perception, marking a significant advancement in vision restoration technologies."
neio:0000103	bionic vision device	AmazingVision	A-Neuron Electronic Corp.	National Chiao Tung University	electronic										subretinal	subretinal	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"This technology is an improved version of what the National Chiao Tung University’s Biomedical Electronics Translational Research Center (BETRC) has been developing. The BETRC created an artificial retina that uses two threads to transmit power from the eyewear worn by the user to a chip implanted in the eyeball. Amazing Vision has added a tiny solar panel to the chip that generates power by absorbing infrared light. This improvement reduces inflammation to the eye, reduces infection risk, and gives clearer and wider vision to the patient it was implanted in. Animal tests have already been conducted and have proven useful. Human testing was delayed due to the pandemic, but is soon to be conducted.
"
neio:0000104	bionic vision device	Argus I	Second Sight Medical Products	University of Southern California	electronic		2004		2002	NCT00279500	16	250/500	4x4	800	epiretinal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		Argus I was the first-generation prototype of an epiretinal implant manufactured by Second Sight Medical Products.
neio:0000105	bionic vision device	Argus II	Second Sight Medical Products		electronic	2011	2019	2013	2011	"NCT00407602,NCT02227498"	60	225	6x10	575	epiretinal	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"The Argus II is a retinal prosthesis device developed by Second Sight Medical Products, designed for individuals with retinitis pigmentosa, a condition characterized by severe vision impairment. As an epiretinal implant, it is placed directly on the retina's surface and consists of a small camera on eyeglasses that captures visual data. This data is processed by a portable unit and transmitted wirelessly to an electrode array in the eye, stimulating the retina's remaining cells to send visual information to the brain.

Approved by the FDA in 2013 and previously granted the CE Mark in 2011 in Europe, the Argus II was the first retinal implant to receive these certifications, allowing users to perform basic visual tasks.

However, in 2019, Second Sight discontinued the Argus II due to financial challenges, shifting their focus to the development of the [Orion Visual Cortical Prosthesis System](/devices/orion), intended to stimulate the brain's visual cortex directly."
neio:0000106	bionic vision device	ASR Artificial Silicon Retina	Optobionics		electronic				2000		5000 microphotodiodes	25			subretinal	subretinal	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		"Optobionics’ Artificial Silicon Retina microchip (ASR) was invented by Dr. Alan Chow and his brother Vincent Chow.  Dr. Chow is an ophthalmic surgeon and assistant professor and his brother Vincent is an electrical engineer.

The ASR was designed to stimulate damaged retinal cells from within the retina to allow the cells to recreate visual signals that are processed and sent to the brain.

The ASR microchip is a silicon chip 2 mm in diameter, 25 microns in thickness and is less than the thickness of a human hair. It fabricated using technology similar to that used in the fabrication of computer chips and contains approximately 5,000 microscopic solar cells called “microphotodiodes,” each with its own stimulating electrode."
neio:0000107	bionic vision device	AV-DONE	"Nidek Co., Ltd."		electronic				2007		7-Mar	50			optic nerve	external	https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		AV-DONE is a direct optic nerve electrode that produces artificial vision in blind patients with retinitis pigmentosa. 
neio:0000108	bionic vision device	Bar-Ilan Hybrid Retinal Prosthesis			electronic										subretinal		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		The Hybrid Retinal Prosthesis is a novel device that combines an implantable high density electrode array integrated with neurons. The electrode-neuron coupling allows for an increase in phosphene density while preserving retinal circuitry.
neio:0000109	bionic vision device	Biohybrid	"Nidek Co., Ltd."		electronic										optic nerve		https://orcid.org/0000-0001-9625-1899|https://orcid.org/0009-0006-7251-3072|https://orcid.org/0000-0001-5233-844X|https://orcid.org/0000-0001-7387-7944	2024-06-25T18:00:00Z		
